"","end_time_local","id","start_time_local","title","username","streams.AirBeam-PM.average_value","streams.AirBeam-PM.id","streams.AirBeam-PM.max_latitude","streams.AirBeam-PM.max_longitude","streams.AirBeam-PM.measurement_short_type","streams.AirBeam-PM.measurement_type","streams.AirBeam-PM.measurements_count","streams.AirBeam-PM.min_latitude","streams.AirBeam-PM.min_longitude","streams.AirBeam-PM.sensor_name","streams.AirBeam-PM.sensor_package_name","streams.AirBeam-PM.session_id","streams.AirBeam-PM.start_latitude","streams.AirBeam-PM.start_longitude","streams.AirBeam-PM.threshold_high","streams.AirBeam-PM.threshold_low","streams.AirBeam-PM.threshold_medium","streams.AirBeam-PM.threshold_very_high","streams.AirBeam-PM.threshold_very_low","streams.AirBeam-PM.unit_name","streams.AirBeam-PM.unit_symbol","streams.AirBeam-PM.size","streams.AirBeam-F.average_value","streams.AirBeam-F.id","streams.AirBeam-F.max_latitude","streams.AirBeam-F.max_longitude","streams.AirBeam-F.measurement_short_type","streams.AirBeam-F.measurement_type","streams.AirBeam-F.measurements_count","streams.AirBeam-F.min_latitude","streams.AirBeam-F.min_longitude","streams.AirBeam-F.sensor_name","streams.AirBeam-F.sensor_package_name","streams.AirBeam-F.session_id","streams.AirBeam-F.start_latitude","streams.AirBeam-F.start_longitude","streams.AirBeam-F.threshold_high","streams.AirBeam-F.threshold_low","streams.AirBeam-F.threshold_medium","streams.AirBeam-F.threshold_very_high","streams.AirBeam-F.threshold_very_low","streams.AirBeam-F.unit_name","streams.AirBeam-F.unit_symbol","streams.AirBeam-F.size","streams.Phone Microphone.average_value","streams.Phone Microphone.id","streams.Phone Microphone.max_latitude","streams.Phone Microphone.max_longitude","streams.Phone Microphone.measurement_short_type","streams.Phone Microphone.measurement_type","streams.Phone Microphone.measurements_count","streams.Phone Microphone.min_latitude","streams.Phone Microphone.min_longitude","streams.Phone Microphone.sensor_name","streams.Phone Microphone.sensor_package_name","streams.Phone Microphone.session_id","streams.Phone Microphone.start_latitude","streams.Phone Microphone.start_longitude","streams.Phone Microphone.threshold_high","streams.Phone Microphone.threshold_low","streams.Phone Microphone.threshold_medium","streams.Phone Microphone.threshold_very_high","streams.Phone Microphone.threshold_very_low","streams.Phone Microphone.unit_name","streams.Phone Microphone.unit_symbol","streams.Phone Microphone.size","streams.AirBeam-RH.average_value","streams.AirBeam-RH.id","streams.AirBeam-RH.max_latitude","streams.AirBeam-RH.max_longitude","streams.AirBeam-RH.measurement_short_type","streams.AirBeam-RH.measurement_type","streams.AirBeam-RH.measurements_count","streams.AirBeam-RH.min_latitude","streams.AirBeam-RH.min_longitude","streams.AirBeam-RH.sensor_name","streams.AirBeam-RH.sensor_package_name","streams.AirBeam-RH.session_id","streams.AirBeam-RH.start_latitude","streams.AirBeam-RH.start_longitude","streams.AirBeam-RH.threshold_high","streams.AirBeam-RH.threshold_low","streams.AirBeam-RH.threshold_medium","streams.AirBeam-RH.threshold_very_high","streams.AirBeam-RH.threshold_very_low","streams.AirBeam-RH.unit_name","streams.AirBeam-RH.unit_symbol","streams.AirBeam-RH.size","type","average"
"11","2015-09-29T18:08:33Z", 9990,"2015-09-29T16:39:06Z","PIT ","HHHDenver", 5.512600,27621, 40.49814, -80.23348,PM,Particulate Matter,5350, 40.48910, -80.26671,AirBeam-PM,AirBeam:001896105CBB, 9990, 40.49420, -80.26671,55,12,35,150,0,micrograms per cubic meter,µg/m³,5350,78.5409,27622, 40.49814, -80.23348,F,Temperature,5350, 40.48910, -80.26671,AirBeam-F,AirBeam:001896105CBB, 9990, 40.49420, -80.26671,75,25,50,100,0,degrees Fahrenheit,F,5350, 77.2722,27623, 40.49814, -80.23348,dB,Sound Level, 1717, 40.48910, -80.26671,Phone Microphone,Builtin, 9990, 40.49420, -80.26671,80,60,70,100,20,decibels,dB, 1717,45.0411,27624, 40.49814, -80.23348,RH,Humidity,5350, 40.48910, -80.26671,AirBeam-RH,AirBeam:001896105CBB, 9990, 40.49420, -80.26671,75,25,50,100,0,percent,%,5350,"MobileSession", 5.5126000
"12","2015-09-27T15:50:56Z", 9973,"2015-09-27T15:03:47Z","bike ride modified path.","HHHDenver", 1.110630,27538, 39.68942,-104.87078,PM,Particulate Matter,2819, 39.66226,-104.89650,AirBeam-PM,AirBeam:001896105CBB, 9973, 39.68374,-104.89163,55,12,35,150,0,micrograms per cubic meter,µg/m³,2819,90.3494,27539, 39.68942,-104.87078,F,Temperature,2819, 39.66226,-104.89650,AirBeam-F,AirBeam:001896105CBB, 9973, 39.68374,-104.89163,75,25,50,100,0,degrees Fahrenheit,F,2819, 80.5217,27540, 39.68942,-104.87078,dB,Sound Level, 3620, 39.66226,-104.89650,Phone Microphone,Builtin, 9973, 39.68374,-104.89163,80,60,70,100,20,decibels,dB, 3620,15.2937,27541, 39.68942,-104.87078,RH,Humidity,2819, 39.66226,-104.89650,AirBeam-RH,AirBeam:001896105CBB, 9973, 39.68374,-104.89163,75,25,50,100,0,percent,%,2819,"MobileSession", 1.1106350
"13","2015-09-22T17:44:28Z", 9944,"2015-09-22T16:17:01Z","DEN thru take off.","HHHDenver", 2.048120,27365, 39.88012,-104.67230,PM,Particulate Matter,5228, 39.78129,-104.76465,AirBeam-PM,AirBeam:001896105CBB, 9944, 39.85688,-104.67363,55,12,35,150,0,micrograms per cubic meter,µg/m³,5228,84.7930,27366, 39.88012,-104.67230,F,Temperature,5228, 39.78129,-104.76465,AirBeam-F,AirBeam:001896105CBB, 9944, 39.85688,-104.67363,75,25,50,100,0,degrees Fahrenheit,F,5228, 75.3976,27367, 39.88012,-104.67230,dB,Sound Level, 6760, 39.78129,-104.76465,Phone Microphone,Builtin, 9944, 39.85688,-104.67363,80,60,70,100,20,decibels,dB, 6760,30.4977,27368, 39.88012,-104.67230,RH,Humidity,5228, 39.78129,-104.76465,AirBeam-RH,AirBeam:001896105CBB, 9944, 39.85688,-104.67363,75,25,50,100,0,percent,%,5228,"MobileSession", 2.0481159
"14","2015-09-22T20:27:10Z", 9943,"2015-09-22T20:00:27Z","SFO taxi & inside restaurant","HHHDenver", 4.196330,27361, 37.62750,-122.38666,PM,Particulate Matter,1598, 37.61807,-122.39576,AirBeam-PM,AirBeam:001896105CBB, 9943, 37.62750,-122.39370,55,12,35,150,0,micrograms per cubic meter,µg/m³,1598,80.2247,27362, 37.62750,-122.38666,F,Temperature,1598, 37.61807,-122.39576,AirBeam-F,AirBeam:001896105CBB, 9943, 37.62750,-122.39370,75,25,50,100,0,degrees Fahrenheit,F,1598, 78.1301,27363, 37.62750,-122.38666,dB,Sound Level, 2074, 37.61807,-122.39576,Phone Microphone,Builtin, 9943, 37.62750,-122.39370,80,60,70,100,20,decibels,dB, 2074,33.3598,27364, 37.62750,-122.38666,RH,Humidity,1598, 37.61807,-122.39576,AirBeam-RH,AirBeam:001896105CBB, 9943, 37.62750,-122.39370,75,25,50,100,0,percent,%,1598,"MobileSession", 4.1963329
"15","2015-09-23T00:00:32Z", 9942,"2015-09-22T21:27:17Z","to hotel","HHHDenver", 8.678300,27357, 37.63319,-122.31285,PM,Particulate Matter,9172, 37.56964,-122.40394,AirBeam-PM,AirBeam:, 9942, 37.61815,-122.38686,55,12,35,150,0,micrograms per cubic meter,µg/m³,9172,81.6782,27358, 37.63319,-122.31285,F,Temperature,9172, 37.56964,-122.40394,AirBeam-F,AirBeam:, 9942, 37.61815,-122.38686,75,25,50,100,0,degrees Fahrenheit,F,9172, 67.0303,27359, 37.63319,-122.31285,dB,Sound Level,11806, 37.56964,-122.40394,Phone Microphone,Builtin, 9942, 37.61815,-122.38686,80,60,70,100,20,decibels,dB,11806,34.0589,27360, 37.63319,-122.31285,RH,Humidity,9172, 37.56964,-122.40394,AirBeam-RH,AirBeam:, 9942, 37.61815,-122.38686,75,25,50,100,0,percent,%,9172,"MobileSession", 8.6782948
"16","2015-09-23T10:30:53Z", 9941,"2015-09-23T09:57:43Z","to Jump","HHHDenver", 5.996950,27353, 37.57930,-122.31308,PM,Particulate Matter,1983, 37.56505,-122.32440,AirBeam-PM,AirBeam:001896105CBB, 9941, 37.57901,-122.32263,55,12,35,150,0,micrograms per cubic meter,µg/m³,1983,76.6904,27354, 37.57930,-122.31308,F,Temperature,1983, 37.56505,-122.32440,AirBeam-F,AirBeam:001896105CBB, 9941, 37.57901,-122.32263,75,25,50,100,0,degrees Fahrenheit,F,1983, 76.9515,27355, 37.57930,-122.31308,dB,Sound Level, 2555, 37.56505,-122.32440,Phone Microphone,Builtin, 9941, 37.57901,-122.32263,80,60,70,100,20,decibels,dB, 2555,37.6379,27356, 37.57930,-122.31308,RH,Humidity,1983, 37.56505,-122.32440,AirBeam-RH,AirBeam:001896105CBB, 9941, 37.57901,-122.32263,75,25,50,100,0,percent,%,1983,"MobileSession", 5.9969491
"17","2015-09-23T11:57:41Z", 9940,"2015-09-23T11:09:27Z","jump","HHHDenver", 4.728130,27349, 37.56674,-122.32386,PM,Particulate Matter,2884, 37.56580,-122.32542,AirBeam-PM,AirBeam:001896105CBB, 9940, 37.56618,-122.32421,55,12,35,150,0,micrograms per cubic meter,µg/m³,2884,74.9528,27350, 37.56674,-122.32386,F,Temperature,2884, 37.56580,-122.32542,AirBeam-F,AirBeam:001896105CBB, 9940, 37.56618,-122.32421,75,25,50,100,0,degrees Fahrenheit,F,2884, 67.1006,27351, 37.56674,-122.32386,dB,Sound Level, 3705, 37.56580,-122.32542,Phone Microphone,Builtin, 9940, 37.56618,-122.32421,80,60,70,100,20,decibels,dB, 3705,42.2910,27352, 37.56674,-122.32386,RH,Humidity,2883, 37.56580,-122.32542,AirBeam-RH,AirBeam:001896105CBB, 9940, 37.56618,-122.32421,75,25,50,100,0,percent,%,2883,"MobileSession", 4.7281311
"18","2015-09-23T11:59:54Z", 9939,"2015-09-23T11:58:28Z","jump2","HHHDenver", 5.020240,27345, 37.56645,-122.32407,PM,Particulate Matter,  85, 37.56593,-122.32573,AirBeam-PM,AirBeam:001896105CBB, 9939, 37.56615,-122.32408,55,12,35,150,0,micrograms per cubic meter,µg/m³,  85,77.0000,27346, 37.56645,-122.32407,F,Temperature,  85, 37.56593,-122.32573,AirBeam-F,AirBeam:001896105CBB, 9939, 37.56615,-122.32408,75,25,50,100,0,degrees Fahrenheit,F,  85, 69.8472,27347, 37.56645,-122.32408,dB,Sound Level,  112, 37.56593,-122.32576,Phone Microphone,Builtin, 9939, 37.56615,-122.32408,80,60,70,100,20,decibels,dB,  112,41.3294,27348, 37.56645,-122.32407,RH,Humidity,  85, 37.56593,-122.32573,AirBeam-RH,AirBeam:001896105CBB, 9939, 37.56615,-122.32408,75,25,50,100,0,percent,%,  85,"MobileSession", 5.0202353
"19","2015-09-23T15:06:24Z", 9938,"2015-09-23T13:51:26Z","Jump lunch","HHHDenver",12.248800,27341, 37.56663,-122.32278,PM,Particulate Matter,4480, 37.56501,-122.32543,AirBeam-PM,AirBeam:001896105CBB, 9938, 37.56628,-122.32430,55,12,35,150,0,micrograms per cubic meter,µg/m³,4480,85.0656,27342, 37.56663,-122.32278,F,Temperature,4480, 37.56501,-122.32543,AirBeam-F,AirBeam:001896105CBB, 9938, 37.56628,-122.32430,75,25,50,100,0,degrees Fahrenheit,F,4480, 96.0173,27343, 37.56663,-122.32278,dB,Sound Level, 5855, 37.56501,-122.32543,Phone Microphone,Builtin, 9938, 37.56628,-122.32430,80,60,70,100,20,decibels,dB, 5855,33.7263,27344, 37.56663,-122.32278,RH,Humidity,4480, 37.56501,-122.32543,AirBeam-RH,AirBeam:001896105CBB, 9938, 37.56628,-122.32430,75,25,50,100,0,percent,%,4480,"MobileSession",12.2488259
"20","2015-09-23T18:48:28Z", 9937,"2015-09-23T18:23:10Z","To hotel","HHHDenver", 2.964280,27337, 37.57947,-122.31279,PM,Particulate Matter,1513, 37.56425,-122.32467,AirBeam-PM,AirBeam:001896105CBB, 9937, 37.56603,-122.32408,55,12,35,150,0,micrograms per cubic meter,µg/m³,1513,80.0139,27338, 37.57947,-122.31279,F,Temperature,1513, 37.56425,-122.32467,AirBeam-F,AirBeam:001896105CBB, 9937, 37.56603,-122.32408,75,25,50,100,0,degrees Fahrenheit,F,1513, 73.8072,27339, 37.57947,-122.31279,dB,Sound Level, 1965, 37.56425,-122.32467,Phone Microphone,Builtin, 9937, 37.56603,-122.32408,80,60,70,100,20,decibels,dB, 1965,32.9306,27340, 37.57947,-122.31279,RH,Humidity,1513, 37.56425,-122.32467,AirBeam-RH,AirBeam:001896105CBB, 9937, 37.56603,-122.32408,75,25,50,100,0,percent,%,1513,"MobileSession", 2.9642763
